"","player","url","mv","citizenship","position","foot","current_club","youth_club","youth_club_country"
"83","Eberechi Eze","https://www.transfermarkt.com/eberechi-eze/profil/spieler/479999","€55.00m","England","Midfield - Attacking Midfield","right","Crystal Palace","Millwall U18","England"
"84","Ryan Gravenberch","https://www.transfermarkt.com/ryan-gravenberch/profil/spieler/478573","€55.00m","Netherlands","Midfield - Defensive Midfield","right","Liverpool FC","Zeeburgia Yth.","Netherlands"
"85","Jules Koundé","https://www.transfermarkt.com/jules-kounde/profil/spieler/411975","€55.00m","France","Defender - Right-Back","right","FC Barcelona","Bordeaux U19","France"
"86","Ademola Lookman","https://www.transfermarkt.com/ademola-lookman/profil/spieler/406040","€55.00m","Nigeria","Attack - Second Striker","right","Atalanta BC","Charlton U18","England"
"87","Ben White","https://www.transfermarkt.com/ben-white/profil/spieler/335721","€55.00m","England","Defender - Right-Back","right","Arsenal FC","Southampton Aca","England"
"88","Ollie Watkins","https://www.transfermarkt.com/ollie-watkins/profil/spieler/324358","€55.00m","England","Attack - Centre-Forward","right","Aston Villa","Exeter U18","England"
"89","Ousmane Dembélé","https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230","€55.00m","France","Attack - Right Winger","both","Paris Saint-Germain","Évreux Jugend","Spain"
"90","Marcus Rashford","https://www.transfermarkt.com/marcus-rashford/profil/spieler/258923","€55.00m","England","Attack - Left Winger","right","Manchester United","Man Utd U18","England"
"91","Bruno Fernandes","https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306","€55.00m","Portugal","Midfield - Attacking Midfield","right","Manchester United","Infesta For.","Portugal"
"92","Mohamed Salah","https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455","€55.00m","Egypt","Attack - Right Winger","left","Liverpool FC","Mokawloon U23","Egypt"
"93","Estêvão","https://www.transfermarkt.com/estevao/profil/spieler/1056993","€50.00m","Brazil","Attack - Right Winger","left","Sociedade Esportiva Palmeiras","Cruzeiro U17","Brazil"
"94","Murillo","https://www.transfermarkt.com/murillo/profil/spieler/1005649","€50.00m","Brazil","Defender - Centre-Back","left","Nottingham Forest","Corinthians U20","Brazil"
"95","Samu Aghehowa","https://www.transfermarkt.com/samu-aghehowa/profil/spieler/991268","€50.00m","Spain","Attack - Centre-Forward","right","FC Porto","Nervión U19","Spain"
"96","Alejandro Garnacho","https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779","€50.00m","Argentina","Attack - Left Winger","right","Manchester United","Atlético Yth.","Spain"
"97","Aleksandar Pavlovic","https://www.transfermarkt.com/aleksandar-pavlovic/profil/spieler/792380","€50.00m","Germany","Midfield - Defensive Midfield","both","Bayern Munich","Fürstenf. Yth.","Germany"
"98","Jamie Gittens","https://www.transfermarkt.com/jamie-gittens/profil/spieler/670882","€50.00m","England","Attack - Left Winger","right","Borussia Dortmund","Reading Yth.","England"
"99","Fermín López","https://www.transfermarkt.com/fermin-lopez/profil/spieler/636703","€50.00m","Spain","Midfield - Central Midfield","right","FC Barcelona","Real Betis Yth.","Spain"
"100","Benjamin Sesko","https://www.transfermarkt.com/benjamin-sesko/profil/spieler/627442","€50.00m","Slovenia","Attack - Centre-Forward","right","RB Leipzig","NK Krsko U17","Slovenia"
"101","João Pedro","https://www.transfermarkt.com/joao-pedro/profil/spieler/626724","€50.00m","Brazil","Attack - Centre-Forward","right","Brighton & Hove Albion","Fluminense U17","Brazil"
"102","Castello Lukeba","https://www.transfermarkt.com/castello-lukeba/profil/spieler/618472","€50.00m","France","Defender - Centre-Back","left","RB Leipzig","Ol. Lyon Yth.","France"
"103","Éderson","https://www.transfermarkt.com/ederson/profil/spieler/607854","€50.00m","Brazil","Midfield - Central Midfield","right","Atalanta BC","Desportivo U20","Brazil"
"104","Éderson","https://www.transfermarkt.com/ederson/profil/spieler/607854","€50.00m","Brazil","Midfield - Central Midfield","right","Atalanta BC","Desportivo U20","Brazil"
"105","Gonçalo Ramos","https://www.transfermarkt.com/goncalo-ramos/profil/spieler/550550","€50.00m","Portugal","Attack - Centre-Forward","right","Paris Saint-Germain","Olhanense CJ","Portugal"
"106","Álex Baena","https://www.transfermarkt.com/alex-baena/profil/spieler/548111","€50.00m","Spain","Attack - Left Winger","right","Villarreal CF","Villarreal Yth.","Spain"
"107","Mohammed Kudus","https://www.transfermarkt.com/mohammed-kudus/profil/spieler/543499","€50.00m","Ghana","Attack - Right Winger","left","West Ham United","Right to Dream","Ghana"
"108","Matheus Cunha","https://www.transfermarkt.com/matheus-cunha/profil/spieler/517894","€50.00m","Brazil","Attack - Centre-Forward","right","Wolverhampton Wanderers","Coritiba U20","Brazil"
"109","Conor Gallagher","https://www.transfermarkt.com/conor-gallagher/profil/spieler/488362","€50.00m","England","Midfield - Central Midfield","right","Atlético de Madrid","Chelsea Youth","England"
"110","Jeremie Frimpong","https://www.transfermarkt.com/jeremie-frimpong/profil/spieler/484547","€50.00m","Netherlands","Midfield - Right Midfield","right","Bayer 04 Leverkusen","Man City Youth","England"
"111","Lisandro Martínez","https://www.transfermarkt.com/lisandro-martinez/profil/spieler/480762","€50.00m","Argentina","Defender - Centre-Back","left","Manchester United","Newell's U20","Argentina"
"112","Manuel Ugarte","https://www.transfermarkt.com/manuel-ugarte/profil/spieler/476701","€50.00m","Uruguay","Midfield - Defensive Midfield","right","Manchester United","CA Fénix U19","Uruguay"
"113","Brennan Johnson","https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607","€50.00m","Wales","Attack - Right Winger","right","Tottenham Hotspur","Nottingham U18","England"
"114","Tijjani Reijnders","https://www.transfermarkt.com/tijjani-reijnders/profil/spieler/460939","€50.00m","Netherlands","Midfield - Central Midfield","right","AC Milan","PEC Youth","Netherlands"
"115","Alphonso Davies","https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204","€50.00m","Canada","Defender - Left-Back","left","Bayern Munich","Whitecaps Res","Canada"
"116","Bryan Mbeumo","https://www.transfermarkt.com/bryan-mbeumo/profil/spieler/413039","€50.00m","Cameroon","Attack - Right Winger","left","Brentford FC","Troyes U19","France"
"117","Takefusa Kubo","https://www.transfermarkt.com/takefusa-kubo/profil/spieler/405398","€50.00m","Japan","Attack - Right Winger","left","Real Sociedad","Frontale Jgd.","Japan"
"118","Teun Koopmeiners","https://www.transfermarkt.com/teun-koopmeiners/profil/spieler/360518","€50.00m","Netherlands","Midfield - Attacking Midfield","left","Juventus FC","AZ Alkmaar Yout","Netherlands"
"119","Ibrahima Konaté","https://www.transfermarkt.com/ibrahima-konate/profil/spieler/357119","€50.00m","France","Defender - Centre-Back","right","Liverpool FC","Paris FC Yth.","France"
"120","Dayot Upamecano","https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695","€50.00m","France","Defender - Centre-Back","right","Bayern Munich","VAFC U19","France"
"121","Christopher Nkunku","https://www.transfermarkt.com/christopher-nkunku/profil/spieler/344381","€50.00m","France","Midfield - Attacking Midfield","right","Chelsea FC","PSG Youth","France"
"122","Diogo Jota","https://www.transfermarkt.com/diogo-jota/profil/spieler/340950","€50.00m","Portugal","Attack - Centre-Forward","right","Liverpool FC","Gondomar SC CJ","Portugal"
